fid,dc
5139,1206
5140,1205
5141,1207
5142,1208
5143,1208
5144,1207
5145,1209
5146,1209
5147,1210
5148,1210
5149,33
5152,33
5155,33
5164,33
5181,100271
5182,100273
5183,7
5185,100274
5187,100274
5189,100274
5191,100274
5194,100274
5196,100274
5205,34
5212,34
5324,100272
5325,100272
5326,100272
5327,100272
5328,100272
5408,100515
5419,100515
5441,100515
5452,100349
5463,100349
5474,100349
5485,100349
5496,100349
5507,100549
5518,100550
5529,100349
5540,100552
5556,100651
5610,100515
5663,100499
5674,100500
5699,100652
5779,100653
5790,100654
5832,100515
5843,100515
5855,100515
5866,100655
5877,100515
5890,100515
5912,100515
5934,100515
5959,100352
6014,100267
6015,100267
6016,100267
6017,100267
6019,100256
6020,100257
6024,35
6034,12
6070,100274
6072,100274
6074,36
6075,36
6119,100515
6138,100305
6139,100288
6140,100289
6141,100292
6142,100295
6143,100299
6144,100385
6145,100502
6146,100510
6147,100514
6148,100523
6149,100538
6150,100605
6151,100622
6152,100610
6153,100626
6154,100628
6155,100629
6156,100498
6157,100361
6158,100361
6159,100553
6160,100328
6162,100299
6164,100316
6177,100625
6179,100630
6205,100515
6312,6312
6332,6332
6362,500
10004,100688
10005,100689
10006,100685
10007,100692
10016,100349
10105,100352
10114,100352
10115,100669
10132,100686
10139,92
10140,92
10610,100280
10691,22
10711,100282
10721,100683
10722,100658
10723,100691
10740,100662
10749,100663
10767,100673
10776,100674
10793,100349
10818,100669
10827,100668
10844,100349
10853,100669
10854,100690
10855,100672
10860,100656
10877,100657
10886,100664
10895,100352
10912,100394
10953,100659
10962,100659
10971,100659
12139,634
12140,634
12141,634
12187,470
12188,21
12223,470
12224,7
12253,470
12254,7
12291,470
12292,7
12323,470
12700,7
12706,100699
20001,3
20002,6
20003,4
20004,5
20005,1007
20012,14
20013,14
20014,14
20018,18
20024,2
20041,47
20042,47
20043,47
20044,47
20045,47
20046,47
20047,47
20048,47
20049,49
20050,50
20051,51
20052,54
20053,54
20054,54
20055,54
20056,56
20057,56
20058,47
20059,59
20060,60
20061,54
20062,54
20071,71
20072,71
20079,73
20080,73
20084,74
20085,75
20086,76
20087,77
20088,78
20089,79
20090,80
20091,81
20092,81
20093,81
20094,81
20095,82
20096,82
20097,82
20098,83
20099,83
20100,83
20101,83
20102,83
20103,83
20104,83
20105,84
20106,85
20107,1010
20108,86
20109,86
20110,1010
20111,1010
20112,1010
20113,1010
20114,1010
20115,89
20116,90
20117,90
20118,91
20119,100295
20122,100694
20123,7
20124,7
20125,7
20126,100695
20152,7
20160,7
20165,5001
20167,5002
20169,5003
20171,5004
20173,5005
20175,5006
20177,5007
20179,5008
20181,5009
20183,5010
20185,5011
20187,5012
20189,5013
20193,5014
20196,500
20198,500
20199,744
20242,498
20244,498
20245,498
20246,479
20255,1506
20262,1543
20401,502
20403,522
20404,502
20405,524
20406,502
20407,523
20408,523
20409,523
20411,524
20412,523
20413,523
20414,521
20415,503
20416,523
20417,520
20418,510
20419,520
20421,502
20422,520
20423,520
20425,502
20426,520
20427,520
20428,502
20429,520
20431,502
20432,503
20435,502
20436,505
20437,502
20438,509
20439,506
20440,510
20441,503
20445,514
20446,503
20447,503
20448,502
20449,502
20450,502
20453,526
20454,527
20456,502
20457,503
20458,537
20459,537
20460,538
20462,531
20463,502
20466,502
20467,529
20468,502
20471,502
20474,502
20477,502
20479,535
20480,503
20481,503
20482,536
20483,503
20484,503
20485,535
20486,503
20487,532
20488,532
20489,532
20490,532
20491,532
20492,515
20493,516
20494,534
20495,534
20496,534
20497,534
20498,534
20499,502
20500,502
20501,502
20502,502
20503,502
20504,503
20505,504
20506,504
20507,504
20508,504
20509,504
20510,504
20511,504
20512,504
20513,504
20514,504
20515,504
20516,504
20517,504
20518,504
20519,504
20520,504
20521,532
20522,532
20523,532
20524,532
20525,532
20526,533
20527,533
20528,533
20529,533
20530,533
20531,533
20532,502
20533,508
20534,508
20535,508
20536,507
20537,519
20538,502
20539,519
20540,502
20541,502
20542,502
20543,518
20544,1401
20546,1405
20547,1406
20548,1407
20549,1405
20550,1406
20551,1414
20552,1415
20553,1422
20554,1423
21000,1001
21024,502
21025,871
21026,1022
21027,503
21028,950
21029,950
21030,950
21031,950
21032,950
21033,950
21034,950
21035,503
21036,408
21037,913
21038,503
21039,620
21040,616
21041,548
21048,339
21049,339
21050,1018
21051,339
21052,339
21053,339
21054,339
21055,339
21056,339
21057,1018
21058,339
21059,339
21060,339
21061,339
21062,503
21063,503
21064,502
21065,502
21066,502
21067,502
21068,502
21069,1862
21070,2730
21071,503
21072,7310
21073,503
21074,503
21075,1021
21076,503
21711,123
21721,123
21722,123
21723,123
21725,123
21731,123
21732,123
21733,123
21734,123
21736,123
21738,123
21741,123
21742,123
21751,123
21761,123
21762,123
21763,123
21764,123
21765,123
21766,123
21771,123
22000,22000
22001,9
22006,1002
22010,1101
22018,947
22019,1
22020,1
22021,682
22027,1
22028,100264
22029,100264
22030,100264
22032,100700
22035,7
22036,7
22051,100
22052,101
22126,7
22127,7
22128,7
22129,7
22130,7
22131,7
22132,7
22133,7
22134,7
22135,7
22136,7
22137,7
22138,7
22139,7
22140,7
22141,7
22166,7
22167,7
22168,7
22169,7
22170,7
22171,7
22172,7
22173,7
22174,7
22175,7
22176,7
22177,7
22178,7
22179,7
22180,7
22181,7
22411,403
22412,401
22413,401
22414,400
22499,480
22502,7
22504,7
22506,496
22601,497
22604,494
22606,493
22607,493
22608,493
22609,493
22610,493
22611,493
22612,493
22613,493
22614,493
22615,493
22616,7
22617,2
22618,7
22619,7
22620,7
22630,489
22640,489
22650,489
22660,486
22682,55
22683,55
22684,55
22685,55
23049,7618
23050,12
23051,12
23052,12
23053,12
23054,12
23055,12
23056,12
23057,12
23058,12
23059,12
23060,12
23061,12
23062,12
23063,12
23064,12
23065,12
23066,12
23067,12
23068,12
23069,12
23070,12
23071,12
23073,12
23074,12
23075,12
24014,7
25780,778
30004,2226
30014,2226
30024,2226
30034,2226
30044,2226
30054,2226
30064,2226
30074,2226
30084,2226
30094,2226
30104,2226
30114,2226
30124,2226
30134,2226
30144,2226
30154,2226
30164,2226
30174,2226
30184,2226
30194,2226
30204,2226
30214,2226
30224,2226
30234,2226
30244,2226
30254,2226
30264,2226
30274,2226
30284,2226
30294,2226
30304,2226
30503,200
30505,198
30513,200
30515,199
30523,200
30525,197
30533,200
30535,196
30602,1529
30603,165
30604,305
30605,782
30606,4917
30612,1529
30613,165
30614,305
30615,782
30616,4917
30622,1529
30623,165
30624,305
30625,782
30626,4917
30632,1529
30633,165
30634,305
30635,782
30636,4917
30642,1529
30643,165
30644,305
30645,782
30646,4917
30652,1529
30653,165
30654,305
30655,782
30656,4917
30662,1529
30663,165
30664,305
30665,782
30666,4917
30672,1529
30673,165
30674,305
30675,782
30676,4917
30682,1529
30683,165
30684,305
30685,782
30686,4917
30692,1529
30693,165
30694,305
30695,782
30696,4917
30702,1529
30703,165
30704,305
30705,782
30706,4917
30712,1529
30713,165
30714,305
30715,782
30716,4917
30722,1529
30723,165
30724,305
30725,782
30726,4917
30732,1529
30733,165
30734,305
30735,782
30736,4917
30742,1529
30743,165
30744,305
30745,782
30746,4917
30753,165
30754,305
30755,782
30756,4917
30762,1529
30763,165
30764,305
30765,782
30766,4917
30772,1529
30773,165
30774,305
30775,782
30776,4917
30782,1529
30783,165
30784,305
30785,782
30786,4917
30792,1529
30793,165
30794,305
30795,782
30796,4917
30802,1529
30803,165
30804,305
30805,782
30806,4917
30812,1529
30813,165
30814,305
30815,782
30816,4917
30822,1529
30823,165
30824,305
30825,782
30826,4917
30832,1529
30833,165
30834,305
30835,782
30836,4917
30842,1529
30843,165
30844,305
30845,782
30846,4917
30852,1529
30853,165
30854,305
30855,782
30856,4917
30862,1529
30863,165
30864,305
30865,782
30866,4917
30872,1529
30873,165
30874,305
30875,782
30876,4917
30882,1529
30883,165
30884,305
30885,782
30886,4917
30892,1529
30893,165
30894,305
30895,782
30896,4917
40001,19
40002,19
40006,19
40011,38
40012,39
40013,87
40018,261
40019,262
40020,1970
40021,1970
40022,1970
41200,240
41201,19
41202,19
41203,87
41204,19
41205,87
41210,240
41214,227
41215,230
41216,231
41217,228
41218,229
41219,212
41220,212
41221,216
41222,220
41223,217
41224,217
41225,223
41226,224
41227,219
41228,225
41229,239
41230,239
41231,238
41232,201
41244,271
41245,270
41246,269
41247,266
41248,267
41249,264
41250,268
41251,265
41253,263
41256,259
41258,259
41270,19
41271,87
41272,240
41273,259
42001,300
42003,300
42005,300
42007,300
42009,300
42011,300
42013,300
42015,300
42017,300
42019,300
42021,300
42023,300
42025,300
42027,300
42029,300
42031,300
42033,300
42035,300
42037,300
90002,93
90015,7
90016,7
90017,7
90018,7
90026,777
100010,100014
100020,100010
100026,7
100150,100006
100160,100006
100170,100006
100180,100006
100190,100006
100200,100006
100210,100006
100220,100006
100230,100006
100240,100010
100250,100006
100260,100009
100270,100006
100280,100009
100290,100006
100300,100006
100310,100006
100320,100009
100330,100006
100350,100009
100360,100009
100370,100002
100380,100002
100390,100010
100400,100007
100410,100007
100420,100007
100430,100007
100440,100007
100460,100009
100470,100009
100480,100009
100490,100002
100500,100002
100510,100010
100520,100006
100530,100006
100540,100006
100550,100006
100560,100006
100580,100010
100590,100006
100630,100006
100670,100006
100710,100006
100720,100006
100730,100006
100740,100006
100760,100010
100770,100001
100800,100001
100810,100001
100820,100001
100830,100001
100840,100001
100850,100001
100860,100001
100880,100009
100890,100009
100900,100002
100910,100002
100920,100015
100940,100010
100950,100006
101020,100006
101090,100006
101160,100006
101230,100006
101240,100006
101250,100006
101260,100006
101270,100006
101300,100010
101310,100006
101350,100006
101390,100006
101430,100006
101470,100006
101510,100006
101550,100006
101970,100004
101980,100004
101990,100004
102000,100004
102010,100004
102020,100004
102030,100004
102040,100004
102050,100004
102060,100004
102070,100004
102080,100010
102090,100003
102120,100003
102130,100010
102140,100003
102150,100003
102170,100003
102180,100003
102190,100003
102200,100003
102210,100003
102220,100003
102230,100003
102250,100010
102260,100005
102270,100005
102280,100005
102290,100005
102300,100005
102310,100005
102320,100005
102330,100005
102340,100005
102350,100005
102360,100005
102370,100005
102380,100005
102400,100010
102410,100003
102420,100003
102430,100003
102440,100003
102450,100003
102460,100003
102470,100003
102480,100003
102490,100003
102500,100003
102520,100010
102530,100004
102540,100004
102620,100004
102700,100010
102710,100001
102720,100001
102730,100001
102740,100001
102750,100001
102760,100001
102770,100001
102780,100001
102800,100010
102810,100003
102820,100003
102830,100003
102840,100003
102850,100003
102860,100003
102870,100003
102880,100003
102890,100003
102900,100003
102910,100003
102930,100010
102940,100003
102950,100003
102960,100003
102970,100003
102980,100003
103000,100010
103010,100016
103020,100016
103030,100016
103040,100016
103050,100016
103060,100016
103070,100016
103080,100016
103090,100016
103100,100016
103120,100008
103130,100008
103140,100010
103150,100004
103160,100004
103170,100004
103180,100004
103190,100004
103200,100004
103210,100004
103220,100004
103230,100004
103250,100010
103260,100004
103270,100004
103280,100004
103290,100004
103310,100010
103980,100010
103990,100010
104000,100017
104010,100017
104020,100017
104030,100017
104040,100013
104050,100017
104060,100017
104070,100017
104080,100017
104090,100017
104100,100017
104110,100017
104120,100017
104130,100017
104140,100017
104150,100017
104160,100017
104170,100017
104180,100017
104190,100017
104200,100017
104210,100017
104220,100017
104230,100017
104240,100017
104250,100017
104260,100017
104270,100017
104280,100017
104290,100017
104300,100017
104310,100017
104320,100017
104330,100017
104340,100017
104350,100017
104360,100017
104370,100017
104380,100017
104400,100010
104410,100004
104420,100004
104430,100004
104440,100004
104450,100004
104460,100004
104470,100004
104480,100004
104490,100004
104500,100004
104510,100004
104520,100004
104530,100004
104540,100004
104550,100004
104560,100004
104570,100004
104580,100004
104590,100004
104660,100010
104670,100010
104900,100011
104910,100011
104920,100012
110001,100693
110005,100693
