coding	meaning	node_id	parent_id	selectable
4112	Civil Service administrative officers and assistants	4112	411	N
4113	Local government clerical officers and assistants	4113	411	N
4114	Officers of non-governmental organisations	4114	411	N
4121	Credit controllers	4121	412	N
4122	Accounts and wages clerks, book-keepers, other financial clerks	4122	412	N
4123	Counter clerks	4123	412	N
4131	Filing and other records assistants/clerks	4131	413	N
4132	Pensions and insurance clerks	4132	413	N
4133	Stock control clerks	4133	413	N
4134	Transport and distribution clerks	4134	413	N
4135	Library assistants/clerks	4135	413	N
4136	Database assistants/clerks	4136	413	N
4137	Market research interviewers	4137	413	N
4141	Telephonists	4141	414	N
4142	Communication operators	4142	414	N
4150	General office assistants/clerks	4150	415	N
4211	Medical secretaries	4211	421	N
4212	Legal secretaries	4212	421	N
4213	School secretaries	4213	421	N
4214	Company secretaries	4214	421	N
4215	Personal assistants and other secretaries	4215	421	N
4216	Receptionists	4216	421	N
4217	Typists	4217	421	N
5111	Farmers	5111	511	N
5112	Horticultural trades	5112	511	N
5113	Gardeners and groundsmen/groundswomen	5113	511	N
5119	Agricultural and fishing trades n.e.c.	5119	511	N
5211	Smiths and forge workers	5211	521	N
5212	Moulders, core makers, die casters	5212	521	N
5213	Sheet metal workers	5213	521	N
5214	Metal plate workers, shipwrights, riveters	5214	521	N
5215	Welding trades	5215	521	N
5216	Pipe fitters	5216	521	N
5221	Metal machining setters and setter-operators	5221	522	N
5222	Tool makers, tool fitters and markers-out	5222	522	N
5223	Metal working production and maintenance fitters	5223	522	N
5224	Precision instrument makers and repairers	5224	522	N
5231	Motor mechanics, auto engineers	5231	523	N
5232	Vehicle body builders and repairers	5232	523	N
5233	Auto electricians	5233	523	N
5234	Vehicle spray painters	5234	523	N
5241	Electricians, electrical fitters	5241	524	N
5242	Telecommunications engineers	5242	524	N
5243	Lines repairers and cable jointers	5243	524	N
5244	TV, video and audio engineers	5244	524	N
5245	Computer engineers, installation and maintenance	5245	524	N
5249	Electrical/electronics engineers n.e.c.	5249	524	N
5311	Steel erectors	5311	531	N
5312	Bricklayers, masons	5312	531	N
5313	Roofers, roof tilers and slaters	5313	531	N
5314	Plumbers, heating and ventilating engineers	5314	531	N
5315	Carpenters and joiners	5315	531	N
5316	Glaziers, window fabricators and fitters	5316	531	N
5319	Construction trades n.e.c.	5319	531	N
5321	Plasterers	5321	532	N
5322	Floorers and wall tilers	5322	532	N
5323	Painters and decorators	5323	532	N
5411	Weavers and knitters	5411	541	N
5412	Upholsterers	5412	541	N
5413	Leather and related trades	5413	541	N
5414	Tailors and dressmakers	5414	541	N
5419	Textiles, garments and related trades n.e.c.	5419	541	N
5421	Originators, compositors and print preparers	5421	542	N
5422	Printers	5422	542	N
5423	Bookbinders and print finishers	5423	542	N
5424	Screen printers	5424	542	N
5431	Butchers, meat cutters	5431	543	N
5432	Bakers, flour confectioners	5432	543	N
5433	Fishmongers, poultry dressers	5433	543	N
5434	Chefs, cooks	5434	543	N
5491	Glass and ceramics makers, decorators and finishers	5491	549	N
5492	Furniture makers, other craft woodworkers	5492	549	N
5493	Pattern makers (moulds)	5493	549	N
5494	Musical instrument makers and tuners	5494	549	N
5495	Goldsmiths, silversmiths, precious stone workers	5495	549	N
5496	Floral arrangers, florists	5496	549	N
5499	Hand craft occupations n.e.c.	5499	549	N
6111	Nursing auxiliaries and assistants	6111	611	N
6112	Ambulance staff (excluding paramedics)	6112	611	N
6113	Dental nurses	6113	611	N
6114	Houseparents and residential wardens	6114	611	N
6115	Care assistants and home carers	6115	611	N
6121	Nursery nurses	6121	612	N
6122	Childminders and related occupations	6122	612	N
6123	Playgroup leaders/assistants	6123	612	N
6124	Educational assistants	6124	612	N
6131	Veterinary nurses and assistants	6131	613	N
6139	Animal care occupations n.e.c.	6139	613	N
6211	Sports and leisure assistants	6211	621	N
6212	Travel agents	6212	621	N
6213	Travel and tour guides	6213	621	N
6214	Air travel assistants	6214	621	N
6215	Rail travel assistants	6215	621	N
6219	Leisure and travel service occupations n.e.c.	6219	621	N
6221	Hairdressers, barbers	6221	622	N
6222	Beauticians and related occupations	6222	622	N
6231	Housekeepers and related occupations	6231	623	N
6232	Caretakers	6232	623	N
6291	Undertakers and mortuary assistants	6291	629	N
6292	Pest control officers	6292	629	N
7111	Sales and retail assistants	7111	711	N
7112	Retail cashiers and check-out operators	7112	711	N
7113	Telephone salespersons	7113	711	N
7121	Collector salespersons and credit agents	7121	712	N
7122	Debt, rent and other cash collectors	7122	712	N
7123	Roundsmen/women and van salespersons	7123	712	N
7124	Market and street traders and assistants	7124	712	N
7125	Merchandisers and window dressers	7125	712	N
7129	Sales related occupations n.e.c.	7129	712	N
7211	Call centre agents/operators	7211	721	N
7212	Customer care occupations	7212	721	N
8111	Food, drink and tobacco process operatives	8111	811	N
8112	Glass and ceramics process operatives	8112	811	N
8113	Textile process operatives	8113	811	N
8114	Chemical and related process operatives	8114	811	N
8115	Rubber process operatives	8115	811	N
8116	Plastics process operatives	8116	811	N
8117	Metal making and treating process operatives	8117	811	N
8118	Electroplaters	8118	811	N
8119	Process operatives n.e.c.	8119	811	N
